Scent,Scent2,Type,PS3
Carrot-Potatoes-Veal,Veal,Complete Meal,Savoury Meal
Carrot-Turkey-Rice,Turkey,Complete Meal,Savoury Meal
Cauliflower,Cauliflower,Mono,Savoury Meal
Cauliflower-Beef-Broccoli,Beef,Complete Meal,Savoury Meal
Cauliflower-Broccoli-Marrow,Cauliflower-Broccoli-Marrow,Multi,Savoury Meal
Cauliflower-Potato,Cauliflower-Potato,Duo,Savoury Meal
Cauliflower-Rabbit,Rabbit,Complete Meal,Savoury Meal
Cauliflower-Vegetables,Cauliflower-Vegetables,Multi,Savoury Meal
Cheese-Pasta-Tomato Sous-Vegetabl,Vegetables,Multi,Savoury Meal
Cheese-Pasta-Tomato Sous-Vegetable,Vegetables,Multi,Savoury Meal
Chicken,Chicken,Mono,Savoury Meal
Chicken Meatballs,Chicken,Mono,Savoury Meal
Chicken-Liver-Pork,Chicken-Liver-Pork,Multi,Savoury Meal
Chicken-Marrow-Rice,Chicken,Complete Meal,Savoury Meal
Chicken-Pasta,Chicken,Complete Meal,Savoury Meal
Chicken-Potato-Tomato,Chicken,Complete Meal,Savoury Meal
Chicken-Potato-Vegetables,Chicken,Complete Meal,Savoury Meal
Chicken-Pumpkin,Chicken,Complete Meal,Savoury Meal
Chicken-Pumpkin-Rice,Chicken,Complete Meal,Savoury Meal
Chicken-Rice,Chicken,Mono,Savoury Meal
Chicken-Rice-Vegetables,Chicken,Complete Meal,Savoury Meal
Chicken-Veal,Chicken-Veal,Duo,Savoury Meal
Chicken-Vegetables,Chicken,Complete Meal,Savoury Meal
Codfish-Noodles-Vegetables,Fish,Complete Meal,Savoury Meal
Codfish-Potato,Fish,Complete Meal,Savoury Meal
Codfish-Shrimp Sauce,Fish,Complete Meal,Savoury Meal
Codfish-Vegetables,Fish,Complete Meal,Savoury Meal
Corn,Corn,Mono,Savoury Meal
Corn-Potato,Corn-Potato,Duo,Savoury Meal
Cream-Broccoli-Pasta-Sea Fish,Fish,Complete Meal,Savoury Meal
Cream-Codfish-Potato,Fish,Complete Meal,Savoury Meal
Cream-Potato-Salmon,Fish,Complete Meal,Savoury Meal
Cream-Rabbit-Vegetables,Rabbit,Complete Meal,Savoury Meal
Fennel-Potato-Rabbit,Rabbit,Complete Meal,Savoury Meal
Fennel-Turkey,Turkey,Complete Meal,Savoury Meal
Figurki,Other,Other,Savoury Meal
Fish,Fish,Mono,Savoury Meal
Fish-Potato,Fish,Complete Meal,Savoury Meal
Flatfish-Potato,Fish,Complete Meal,Savoury Meal
Green Peas,Green Peas,Mono,Savoury Meal
Grilled Vegetables-Rice-Turkey,Turkey,Complete Meal,Savoury Meal
Hake-Potato,Hake,Complete Meal,Savoury Meal
Ham-Pasta-Vegetables,Ham,Complete Meal,Savoury Meal
Ham-Vegetables,Ham,Complete Meal,Savoury Meal
Haricot-Potato-Rabbit,Rabbit,Complete Meal,Savoury Meal
Italian,Other,Multi,Savoury Meal
Lamb-Vegetables,Lamb,Complete Meal,Savoury Meal
Liver-Pork,Liver-Pork,Duo,Savoury Meal
Liver-Turkey,Turkey-Liver,Duo,Savoury Meal
Liver-Veal-Vegetables,Veal-Liver,Complete Meal,Savoury Meal
Marrow,Marrow,Mono,Savoury Meal
Marrow-Milk,Marrow-Milk,Mono,Savoury Meal
Marrow-Potato,Marrow-Potato,Duo,Savoury Meal
Meatballs-Vegetables,Meat,Complete Meal,Savoury Meal
Meat-Pasta,Meat,Complete Meal,Savoury Meal
Meat-Vegetables,Meat,Complete Meal,Savoury Meal
Milk-Pumpkin-Rice,Pumpkin-Milk,Complete Meal,Savoury Meal
N/S,Other,Multi,Savoury Meal
Parsnip,Parsnip,Mono,Savoury Meal
Pasta-Tomato-Veal,Veal,Complete Meal,Savoury Meal
Pollack-Rice-Vegatables,Fish,Complete Meal,Savoury Meal
Pork,Pork,Mono,Savoury Meal
Potatoes-Spinach,Potatoes-Spinach,Duo,Savoury Meal
Potatoes-Tuna-Vegetables,Fish,Complete Meal,Savoury Meal
Potatoes-Veal-Vegetables,Veal,Complete Meal,Savoury Meal
Potato-Pumpkin,Potato-Pumpkin,Duo,Savoury Meal
Potato-Rabbit,Rabbit,Complete Meal,Savoury Meal
Potato-Rabbit-Spinach,Rabbit,Complete Meal,Savoury Meal
Potato-Salmon,Fish,Complete Meal,Savoury Meal
Potato-Trout,Fish,Complete Meal,Savoury Meal
Potato-Turkey,Turkey,Complete Meal,Savoury Meal
Potato-Turkey-Vegetables,Turkey,Complete Meal,Savoury Meal
Potato-Veal-Vegetables,Veal,Complete Meal,Savoury Meal
Potato-Whiting,Potatoes,Mono,Savoury Meal
Pumpkin,Pumpkin,Mono,Savoury Meal
Pumpkin-Turkey,Turkey,Complete Meal,Savoury Meal
Rabbit,Rabbit,Mono,Savoury Meal
Rabbit Meatballs,Rabbit,Mono,Savoury Meal
Rabbit-Vegetables,Rabbit,Complete Meal,Savoury Meal
Raspberry-Rice-Zucchini,Raspberry,Duo,Savoury Meal
Rice-Salmon-Vegetables,Fish,Complete Meal,Savoury Meal
Rice-Spinach,Spinach,Complete Meal,Savoury Meal
Rice-Turkey,Turkey,Mono,Savoury Meal
Rice-Turkey-Vegetables,Turkey,Complete Meal,Savoury Meal
Rice-Veal-Vegetables,Veal,Complete Meal,Savoury Meal
Salmon-Vegetables,Fish,Complete Meal,Savoury Meal
Sea Fish-Vegetables,Fish,Complete Meal,Savoury Meal
Sweet Vegetables,Vegetables,Multi,Savoury Meal
Trout-Vegetables,Fish,Complete Meal,Savoury Meal
Turkey,Turkey,Mono,Savoury Meal
Turkey Meatballs,Turkey,Mono,Savoury Meal
Turkey Meatballs-Vegetables,Turkey,Complete Meal,Savoury Meal
Turkey-Vegetables,Turkey,Complete Meal,Savoury Meal
Turkey-Yazyk,Turkey,Duo,Savoury Meal
Veal,Veal,Mono,Savoury Meal
Veal Meatballs,Veal,Mono,Savoury Meal
Veal-Vegetables,Veal,Complete Meal,Savoury Meal
Vegetable Salad,Vegetables,Complete Meal,Savoury Meal
Vegetables,Vegetables,Multi,Savoury Meal
White Carrot,Carrot,Mono,Savoury Meal
Zvezdochki,Other,Other,Savoury Meal
Apple-Banana-Raspberry,Apple-Banana-Raspberry,Multi,Fruits
Cereals Cookies-Fruits,Fruits,Multi,Fruits
Apple-Berry-Bilberry-Fruit-Strawberry,Apple-Berry-Bilberry-Strawberry,Multi,Fruits
